image_name,denomination,ground_truth_cls,predicted_cls,confidence,correct,numismatic_alignment_score,normalized_energy_density
001_azn_00001.jpg,001_azn,0,0,0.87,True,0.8607,3.4031
001_azn_00002.jpg,001_azn,0,6,0.293,False,0.9814,1.3188
001_azn_00003.jpg,001_azn,0,0,0.877,True,0.3902,2.2087
001_azn_00004.jpg,001_azn,0,0,0.849,True,0.7948,4.7757
001_azn_00005.jpg,001_azn,0,0,0.892,True,0.7809,5.0552
001_azn_00006.jpg,001_azn,0,0,0.699,True,0.9928,1.6046
001_azn_00007.jpg,001_azn,0,0,0.883,True,0.6159,4.9181
001_azn_00008.jpg,001_azn,0,0,0.737,True,0.1998,1.807
001_azn_00009.jpg,001_azn,0,0,0.87,True,0.7222,5.1428
001_azn_00010.jpg,001_azn,0,0,0.893,True,0.7912,4.1454
001_azn_00011.jpg,001_azn,0,0,0.902,True,0.7724,8.013
001_azn_00012.jpg,001_azn,0,0,0.887,True,0.8966,5.3511
001_azn_00013.jpg,001_azn,0,0,0.868,True,0.6395,3.3288
001_azn_00014.jpg,001_azn,0,0,0.909,True,0.8073,6.6808
001_azn_00170.jpg,001_azn,0,0,0.914,True,0.826,3.274
001_azn_00171.jpg,001_azn,0,0,0.914,True,0.9052,3.2866
001_azn_00172.jpg,001_azn,0,0,0.886,True,0.9035,4.0142
001_azn_00173.jpg,001_azn,0,0,0.907,True,0.6552,3.4508
001_azn_00174.jpg,001_azn,0,0,0.83,True,0.6204,2.4118
001_azn_00175.jpg,001_azn,0,0,0.819,True,0.5994,1.9935
001_azn_00176.jpg,001_azn,0,0,0.904,True,0.8702,2.8044
001_azn_00177.jpg,001_azn,0,0,0.879,True,0.8485,2.4646
001_azn_00178.jpg,001_azn,0,0,0.885,True,0.8225,3.3941
001_azn_00179.jpg,001_azn,0,0,0.895,True,0.9597,3.2168
001_azn_00180.jpg,001_azn,0,0,0.886,True,0.9573,2.5838
005_azn_00144.jpg,005_azn,1,1,0.586,True,0.2834,1.674
005_azn_00145.jpg,005_azn,1,1,0.875,True,0.2296,2.5557
005_azn_00146.jpg,005_azn,1,1,0.87,True,0.099,1.3735
005_azn_00147.jpg,005_azn,1,1,0.916,True,0.6832,4.4876
005_azn_00148.jpg,005_azn,1,1,0.882,True,0.5952,3.496
005_azn_00149.jpg,005_azn,1,1,0.794,True,0.8271,2.2879
005_azn_00150.jpg,005_azn,1,1,0.873,True,0.8583,1.8412
005_azn_00151.jpg,005_azn,1,1,0.781,True,0.037,0.6339
005_azn_00152.jpg,005_azn,1,1,0.813,True,0.3992,3.538
005_azn_00153.jpg,005_azn,1,1,0.866,True,0.185,2.1203
005_azn_00154.jpg,005_azn,1,1,0.887,True,0.8953,3.3065
005_azn_00155.jpg,005_azn,1,1,0.903,True,0.7626,3.7416
005_azn_00156.jpg,005_azn,1,1,0.859,True,0.7633,3.2045
005_azn_00157.jpg,005_azn,1,1,0.852,True,0.09,4.0941
005_azn_00158.jpg,005_azn,1,1,0.46,True,0.0037,0.5045
005_azn_00159.jpg,005_azn,1,-1,0.0,False,0.9993,1.0035
005_azn_00160.jpg,005_azn,1,-1,0.0,False,0.9989,1.0024
005_azn_00161.jpg,005_azn,1,2,0.594,False,0.0126,1.9865
005_azn_00166.jpg,005_azn,1,4,0.576,False,0.5158,4.113
005_azn_00167.jpg,005_azn,1,4,0.878,False,0.3665,3.3442
005_azn_00168.jpg,005_azn,1,4,0.802,False,0.4594,2.8478
005_azn_00169.jpg,005_azn,1,1,0.599,True,0.3603,1.1146
005_azn_00170.jpg,005_azn,1,1,0.86,True,0.819,2.6935
005_azn_00171.jpg,005_azn,1,1,0.91,True,0.9578,2.7366
005_azn_00172.jpg,005_azn,1,6,0.759,False,0.1609,1.3855
010_azn_00133.jpg,010_azn,2,2,0.917,True,0.7884,3.3785
010_azn_00134.jpg,010_azn,2,2,0.914,True,0.5099,2.135
010_azn_00135.jpg,010_azn,2,2,0.864,True,0.1082,3.2109
010_azn_00136.jpg,010_azn,2,2,0.7,True,0.0069,0.2372
010_azn_00137.jpg,010_azn,2,2,0.726,True,0.0495,1.8303
010_azn_00138.jpg,010_azn,2,2,0.882,True,0.0998,2.7941
010_azn_00140.jpg,010_azn,2,-1,0.0,False,0.0447,1.8408
010_azn_00141.jpg,010_azn,2,4,0.498,False,0.0095,2.2456
010_azn_00143.jpg,010_azn,2,2,0.417,True,0.0113,2.3036
010_azn_00144.jpg,010_azn,2,2,0.705,True,0.0036,0.3587
010_azn_00145.jpg,010_azn,2,2,0.841,True,0.0765,7.2148
010_azn_00146.jpg,010_azn,2,2,0.389,True,0.0212,2.13
010_azn_00147.jpg,010_azn,2,-1,0.0,False,0.0463,4.2293
010_azn_00148.jpg,010_azn,2,2,0.38,True,0.0078,0.9552
010_azn_00149.jpg,010_azn,2,0,0.545,False,0.0715,3.8176
010_azn_00150.jpg,010_azn,2,-1,0.0,False,0.0132,3.906
010_azn_00151.jpg,010_azn,2,-1,0.0,False,0.0027,2.2309
010_azn_00364.jpg,010_azn,2,2,0.904,True,0.4168,5.7684
010_azn_00365.jpg,010_azn,2,2,0.912,True,0.4726,4.9229
010_azn_00366.jpg,010_azn,2,2,0.907,True,0.5917,5.4144
010_azn_00367.jpg,010_azn,2,2,0.907,True,0.6176,3.7656
010_azn_00368.jpg,010_azn,2,2,0.911,True,0.7801,3.6984
010_azn_00369.jpg,010_azn,2,2,0.895,True,0.8899,4.7002
010_azn_00370.jpg,010_azn,2,2,0.914,True,0.9074,4.9804
010_azn_00371.jpg,010_azn,2,2,0.901,True,0.6449,12.6665
020_azn_00290.jpg,020_azn,3,3,0.907,True,0.3727,7.5835
020_azn_00291.jpg,020_azn,3,3,0.914,True,0.4506,8.4265
020_azn_00292.jpg,020_azn,3,3,0.882,True,0.5674,6.2705
020_azn_00293.jpg,020_azn,3,3,0.885,True,0.9906,1.9926
020_azn_00294.jpg,020_azn,3,3,0.9,True,0.6111,2.5094
020_azn_00295.jpg,020_azn,3,3,0.894,True,0.7758,2.0793
020_azn_00296.jpg,020_azn,3,3,0.901,True,0.7409,2.1112
020_azn_00297.jpg,020_azn,3,3,0.908,True,0.5116,4.0216
020_azn_00298.jpg,020_azn,3,3,0.912,True,0.6391,3.9321
020_azn_00299.jpg,020_azn,3,3,0.889,True,0.5611,5.3078
020_azn_00300.jpg,020_azn,3,3,0.895,True,0.5637,5.8467
020_azn_00301.jpg,020_azn,3,3,0.89,True,0.879,4.0909
020_azn_00302.jpg,020_azn,3,3,0.887,True,0.8412,3.9333
020_azn_00303.jpg,020_azn,3,3,0.901,True,0.8136,4.6545
020_azn_00304.jpg,020_azn,3,3,0.909,True,0.8227,4.6059
020_azn_00305.jpg,020_azn,3,3,0.896,True,0.8449,3.853
020_azn_00307.jpg,020_azn,3,3,0.898,True,0.696,3.4862
020_azn_00308.jpg,020_azn,3,3,0.9,True,0.4454,5.5686
020_azn_00309.jpg,020_azn,3,3,0.899,True,0.7001,2.6143
020_azn_00310.jpg,020_azn,3,3,0.895,True,0.9679,3.0106
020_azn_00311.jpg,020_azn,3,3,0.899,True,0.708,2.2086
020_azn_00312.jpg,020_azn,3,3,0.887,True,0.9082,2.5513
020_azn_00313.jpg,020_azn,3,3,0.882,True,0.9465,2.6098
020_azn_00314.jpg,020_azn,3,3,0.892,True,0.9095,2.661
020_azn_00315.jpg,020_azn,3,3,0.885,True,0.873,3.2363
050_azn_00130.jpg,050_azn,4,4,0.846,True,0.8602,3.1011
050_azn_00131.jpg,050_azn,4,4,0.71,True,0.8113,2.5953
050_azn_00132.jpg,050_azn,4,4,0.865,True,0.7974,2.7
050_azn_00133.jpg,050_azn,4,4,0.866,True,0.706,3.1892
050_azn_00134.jpg,050_azn,4,4,0.774,True,0.5439,1.9711
050_azn_00135.jpg,050_azn,4,4,0.817,True,0.3595,3.3032
050_azn_00136.jpg,050_azn,4,4,0.86,True,0.6553,3.1464
050_azn_00137.jpg,050_azn,4,4,0.857,True,0.2568,4.5725
050_azn_00138.jpg,050_azn,4,4,0.832,True,0.6408,6.7232
050_azn_00139.jpg,050_azn,4,4,0.853,True,0.3586,2.7096
050_azn_00140.jpg,050_azn,4,4,0.849,True,0.5949,2.627
050_azn_00141.jpg,050_azn,4,4,0.862,True,0.8475,3.5462
050_azn_00142.jpg,050_azn,4,4,0.88,True,0.9064,2.7407
050_azn_00143.jpg,050_azn,4,4,0.814,True,0.6251,3.2677
050_azn_00144.jpg,050_azn,4,4,0.853,True,0.9421,2.7037
050_azn_00145.jpg,050_azn,4,4,0.845,True,0.9474,2.6815
050_azn_00146.jpg,050_azn,4,4,0.841,True,0.9735,2.2283
050_azn_00147.jpg,050_azn,4,4,0.807,True,0.982,2.1103
050_azn_00148.jpg,050_azn,4,4,0.813,True,0.875,1.7771
050_azn_00149.jpg,050_azn,4,4,0.884,True,0.9475,3.5323
050_azn_00150.jpg,050_azn,4,4,0.861,True,0.9791,1.9846
050_azn_00151.jpg,050_azn,4,4,0.842,True,0.9061,3.2336
050_azn_00152.jpg,050_azn,4,4,0.879,True,0.9001,4.3653
050_azn_00153.jpg,050_azn,4,4,0.847,True,0.9871,2.0561
050_azn_00154.jpg,050_azn,4,4,0.845,True,0.8495,4.139
100_azn_00229.jpg,100_azn,5,5,0.899,True,0.4628,11.317
100_azn_00230.jpg,100_azn,5,5,0.914,True,0.7224,5.8545
100_azn_00231.jpg,100_azn,5,5,0.89,True,0.5447,12.0559
100_azn_00232.jpg,100_azn,5,5,0.878,True,0.9364,3.5549
100_azn_00233.jpg,100_azn,5,5,0.896,True,0.5308,5.1523
100_azn_00234.jpg,100_azn,5,5,0.891,True,0.2657,4.4037
100_azn_00235.jpg,100_azn,5,5,0.893,True,0.2887,4.2022
100_azn_00236.jpg,100_azn,5,5,0.918,True,0.7315,6.7089
100_azn_00237.jpg,100_azn,5,5,0.883,True,0.3235,8.6465
100_azn_00238.jpg,100_azn,5,5,0.882,True,0.9527,2.3753
100_azn_00239.jpg,100_azn,5,5,0.91,True,0.6751,5.3931
100_azn_00240.jpg,100_azn,5,5,0.923,True,0.5691,9.8371
100_azn_00241.jpg,100_azn,5,5,0.891,True,0.6739,5.0033
100_azn_00242.jpg,100_azn,5,5,0.907,True,0.6515,6.2178
100_azn_00243.jpg,100_azn,5,5,0.926,True,0.5004,4.2699
100_azn_00244.jpg,100_azn,5,5,0.903,True,0.4699,3.4285
100_azn_00245.jpg,100_azn,5,5,0.83,True,0.7291,4.6831
100_azn_00246.jpg,100_azn,5,5,0.881,True,0.3438,11.1944
100_azn_00247.jpg,100_azn,5,5,0.917,True,0.5275,9.5818
100_azn_00248.jpg,100_azn,5,5,0.869,True,0.4218,9.8189
100_azn_00249.jpg,100_azn,5,5,0.885,True,0.4904,10.8083
100_azn_00250.jpg,100_azn,5,5,0.868,True,0.1665,3.2208
100_azn_00251.jpg,100_azn,5,5,0.883,True,0.2318,10.6628
100_azn_00252.jpg,100_azn,5,5,0.897,True,0.4473,6.4726
100_azn_00253.jpg,100_azn,5,5,0.89,True,0.3654,5.1968
200_azn_00001.jpg,200_azn,6,6,0.862,True,0.6435,2.9139
200_azn_00002.jpg,200_azn,6,6,0.882,True,0.6964,3.5119
200_azn_00003.jpg,200_azn,6,6,0.867,True,0.2887,2.1261
200_azn_00004.jpg,200_azn,6,6,0.777,True,0.4465,1.8912
200_azn_00005.jpg,200_azn,6,6,0.83,True,0.3591,2.7277
200_azn_00006.jpg,200_azn,6,6,0.876,True,0.3042,3.0641
200_azn_00007.jpg,200_azn,6,6,0.903,True,0.8464,5.5603
200_azn_00008.jpg,200_azn,6,6,0.871,True,0.3074,1.716
200_azn_00009.jpg,200_azn,6,6,0.882,True,0.3088,2.2152
200_azn_00010.jpg,200_azn,6,6,0.874,True,0.2394,3.0677
200_azn_00011.jpg,200_azn,6,6,0.774,True,0.207,2.1243
200_azn_00012.jpg,200_azn,6,6,0.818,True,0.4787,3.966
200_azn_00013.jpg,200_azn,6,6,0.9,True,0.8651,3.0308
200_azn_00014.jpg,200_azn,6,6,0.861,True,0.901,4.811
200_azn_00015.jpg,200_azn,6,6,0.769,True,0.6263,4.2251
200_azn_00016.jpg,200_azn,6,6,0.668,True,0.0632,0.8336
200_azn_00017.jpg,200_azn,6,6,0.878,True,0.0966,1.4973
200_azn_00018.jpg,200_azn,6,6,0.874,True,0.4918,3.4285
200_azn_00019.jpg,200_azn,6,6,0.86,True,0.4875,2.8581
200_azn_00020.jpg,200_azn,6,6,0.882,True,0.9243,2.161
200_azn_00021.jpg,200_azn,6,6,0.876,True,0.7765,3.2176
200_azn_00029.jpg,200_azn,6,6,0.88,True,0.3524,6.5405
200_azn_00030.jpg,200_azn,6,6,0.899,True,0.4551,5.0399
200_azn_00031.jpg,200_azn,6,6,0.905,True,0.5693,4.9427
200_azn_00032.jpg,200_azn,6,6,0.895,True,0.5385,3.9315
